"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected"
"La Liga","M","ESP",2021,"Alavés","team",30,38,35,339,95,28,8.92,2.5,0.09,0.32,17.4,12,5,8,42.6,36.4,0.11,-7.6,-6.4
"La Liga","M","ESP",2021,"Athletic Club","team",27,38,43,399,128,32.1,10.5,3.37,0.1,0.3,17.4,15,4,5,43.1,39.2,0.1,-0.1,-0.2
"La Liga","M","ESP",2021,"Atlético Madrid","team",25,38,65,452,178,39.4,11.89,4.68,0.13,0.34,17.6,13,5,7,52.8,47.2,0.11,12.2,12.8
"La Liga","M","ESP",2021,"Barcelona","team",25,38,80,575,231,40.2,15.13,6.08,0.13,0.33,17.1,43,4,8,73.5,67.1,0.12,6.5,8.9
"La Liga","M","ESP",2021,"Betis","team",25,38,50,432,145,33.6,11.37,3.82,0.1,0.29,18.9,16,8,11,49.1,40.5,0.1,0.9,1.5
"La Liga","M","ESP",2021,"Celta Vigo","team",30,38,55,350,133,38,9.21,3.5,0.14,0.36,17,13,7,7,50.4,44.9,0.13,4.6,3.1
"La Liga","M","ESP",2021,"Cádiz","team",34,38,33,299,97,32.4,7.87,2.55,0.1,0.3,17.6,14,4,4,34.7,31.6,0.11,-1.7,-2.6
"La Liga","M","ESP",2021,"Eibar","team",30,38,29,443,127,28.7,11.66,3.34,0.06,0.2,18.1,14,4,9,45.2,38.3,0.09,-16.2,-13.3
"La Liga","M","ESP",2021,"Elche","team",30,38,33,265,86,32.5,6.97,2.26,0.12,0.36,16.8,12,2,3,29.9,27.5,0.11,3.1,3.5
"La Liga","M","ESP",2021,"Getafe","team",31,38,27,355,97,27.3,9.34,2.55,0.07,0.25,18.8,24,3,5,34.4,30.5,0.09,-7.4,-6.5
"La Liga","M","ESP",2021,"Granada","team",34,38,47,354,121,34.2,9.32,3.18,0.12,0.36,19.1,21,3,5,41.1,37.3,0.11,5.9,6.7
"La Liga","M","ESP",2021,"Huesca","team",27,38,32,404,130,32.2,10.63,3.42,0.07,0.22,18,13,3,4,38.9,36.1,0.09,-6.9,-7.1
"La Liga","M","ESP",2021,"Levante","team",29,38,45,376,125,33.2,9.89,3.29,0.11,0.34,18.2,10,3,6,40.4,35.7,0.1,4.6,6.3
"La Liga","M","ESP",2021,"Osasuna","team",28,38,36,368,114,31,9.68,3,0.08,0.27,18.8,7,5,6,38.7,34.7,0.1,-2.7,-3.7
"La Liga","M","ESP",2021,"Real Madrid","team",30,38,64,544,167,30.7,14.32,4.39,0.11,0.37,17.7,17,3,3,61.5,59.2,0.11,2.5,1.8
"La Liga","M","ESP",2021,"Real Sociedad","team",30,38,58,417,139,33.3,10.97,3.66,0.12,0.35,16.5,20,9,12,60.7,51.5,0.13,-2.7,-2.5
"La Liga","M","ESP",2021,"Sevilla","team",26,38,52,454,135,29.7,11.95,3.55,0.1,0.34,17.2,15,6,7,54.4,48.9,0.11,-2.4,-2.9
"La Liga","M","ESP",2021,"Valencia","team",30,38,48,383,129,33.7,10.08,3.39,0.1,0.31,20.1,32,8,10,42.6,34.8,0.09,5.4,5.2
"La Liga","M","ESP",2021,"Valladolid","team",32,38,34,359,110,30.6,9.45,2.89,0.08,0.25,18.7,25,7,8,40.1,33.8,0.1,-6.1,-6.8
"La Liga","M","ESP",2021,"Villarreal","team",29,38,57,392,146,37.2,10.32,3.84,0.11,0.31,17,13,12,13,56.4,46.4,0.12,0.6,-1.4
"La Liga","M","ESP",2021,"vs Alavés","opponent",30,38,57,395,139,35.2,10.39,3.66,0.14,0.39,17.1,16,3,3,49.9,47.5,0.12,7.1,6.5
"La Liga","M","ESP",2021,"vs Athletic Club","opponent",27,38,41,370,105,28.4,9.74,2.76,0.1,0.34,18.8,15,5,6,37.7,33.1,0.09,3.3,2.9
"La Liga","M","ESP",2021,"vs Atlético Madrid","opponent",25,38,22,357,119,33.3,9.39,3.13,0.06,0.18,18.6,14,1,4,37.1,34,0.1,-15.1,-13
"La Liga","M","ESP",2021,"vs Barcelona","opponent",25,38,36,323,125,38.7,8.5,3.29,0.1,0.25,17.4,14,5,5,40.8,36.9,0.12,-4.8,-5.9
"La Liga","M","ESP",2021,"vs Betis","opponent",25,38,47,356,126,35.4,9.37,3.32,0.11,0.31,17.7,17,8,10,46.8,39.2,0.11,0.2,-0.2
"La Liga","M","ESP",2021,"vs Celta Vigo","opponent",30,38,56,406,130,32,10.68,3.42,0.12,0.38,17.9,23,7,8,51,45,0.12,5,4
"La Liga","M","ESP",2021,"vs Cádiz","opponent",34,38,57,439,140,31.9,11.55,3.68,0.11,0.34,18,19,9,10,55.4,47.6,0.11,1.6,0.4
"La Liga","M","ESP",2021,"vs Eibar","opponent",30,38,52,345,131,38,9.08,3.45,0.14,0.37,17.2,12,3,5,45.7,41.7,0.13,6.3,7.3
"La Liga","M","ESP",2021,"vs Elche","opponent",30,38,54,464,154,33.2,12.21,4.05,0.1,0.31,17.7,20,6,10,60.9,53.2,0.12,-6.9,-5.2
"La Liga","M","ESP",2021,"vs Getafe","opponent",31,38,40,312,103,33,8.21,2.71,0.11,0.32,18.4,13,7,8,40.3,34,0.11,-0.3,-1
"La Liga","M","ESP",2021,"vs Granada","opponent",34,38,64,468,159,34,12.32,4.18,0.12,0.36,17.4,15,6,12,56.2,46.8,0.1,7.8,11.2
"La Liga","M","ESP",2021,"vs Huesca","opponent",27,38,51,416,144,34.6,10.95,3.79,0.11,0.32,17.8,22,5,5,48.4,44.6,0.11,2.6,1.4
"La Liga","M","ESP",2021,"vs Levante","opponent",29,38,55,459,160,34.9,12.08,4.21,0.11,0.33,17,17,3,4,53.4,50.6,0.11,1.6,1.4
